"","Commodity2","APMC","Year","maxfluctrel","maxfluct"
"101","sorgumjawar","Kolhapur-Laxmipuri",2015,126.829268292683,2132
"102","sesamum","Pachora",2015,56.2913907284768,2125
"103","grnut kernels","Kolhapur-Laxmipuri",2014,37.5,2100
"104","pigeon pea tur","Chandur Bajar",2015,36.9497716894977,2100
"105","pigeon pea tur","Lasur Station",2014,52.7714502657555,2085
"106","pigeon pea tur","Akot",2015,30.5062362435803,2079
"107","sunflower","Chalisgaon",2015,66.9677419354839,2076
"108","sesamum","Karanja",2014,32.2023346303502,2069
"109","pigeon pea tur","Hinganghat",2015,28.1692075264387,2051
"110","pigeon pea tur","Umared",2016,32.8936786231301,2045
"111","pigeon pea tur","Varora",2015,32.3809523809524,2040
"112","pigeon pea tur","Akhadabalapur",2015,34.9137931034483,2025
"113","ricepaddyhus","Umared",2016,100.65,2013
"114","sorgumjawar","Barshi-Vairag",2016,109.956236323851,2010
"115","wheathusked","Paithan",2014,134.680134680135,2000
"116","pigeon pea tur","Pathardi",2016,40.8079983676801,2000
"117","grnut kernels","Kalyan",2016,33.3333333333333,2000
"118","sesamum","Kalyan",2015,25,2000
"119","sesamum","Kalyan",2016,22.2222222222222,2000
"120","sesamum","Shirpur",2016,56.8298235628913,1997
"121","sorgumjawar","Jalna",2014,167.818028643639,1992
"122","pigeon pea tur","Jalna",2015,31.353919239905,1972
"123","ricepaddyhus","Bhivandi",2016,89.8173515981735,1967
"124","pigeon pea tur","Daryapur",2016,30.7056721750782,1963
"125","pigeon pea tur","Nagpur",2015,27.999427999428,1958
"126","pigeon pea tur","Yeotmal",2016,26.7810569663693,1951
"127","pigeon pea tur","Partur",2015,25.0128205128205,1951
"128","sesamum","Majalgaon",2016,39.2591101268371,1950
"129","wheathusked","Vasai",2014,131.765507839127,1933
"130","sunflower","Nandurbar",2016,59.3957503320053,1932
"131","pigeon pea tur","Balapur",2016,31.8181818181818,1925
"132","pigeon pea tur","Chikhali",2016,28.725914274479,1923
"133","pigeon pea tur","Lonar",2015,25.3096179183136,1921
"134","pigeon pea tur","Pulgaon",2015,31.0848062266904,1917
"135","pigeon pea tur","Jintur",2015,29.1673056279712,1902
"136","sorgumjawar","Indapur",2014,172.727272727273,1900
"137","sunflower","Akola",2015,57.5757575757576,1900
"138","pigeon pea tur","Sangrampur",2016,34.5454545454545,1900
"139","pigeon pea tur","Mahagaon",2016,33.9285714285714,1900
"140","pigeon pea tur","Sillod-Bharadi",2016,31.6666666666667,1900
"141","grnut kernels","Kolhapur-Laxmipuri",2016,29.2307692307692,1900
"142","pigeon pea tur","Paranda",2016,28.7461773700306,1880
"143","pigeon pea tur","Pachora",2016,31.9123641304348,1879
"144","pigeon pea tur","Kurdwadi-Modnimb",2015,49.2639327024185,1874
"145","pigeon pea tur","Ahmedpur",2015,21.2720045428734,1873
"146","ricepaddyhus","Mangaon(Bhadav)",2016,100.809061488673,1869
"147","pigeon pea tur","Jalgaon Jamod-Aasalgaon",2015,31.4038461538462,1866
"148","pigeon pea tur","Karanja",2015,22.7805901963205,1845
"149","sesamum","Majalgaon",2014,19.8184568835098,1834
"150","pigeon pea tur","Dhule",2016,33.1462708182477,1831
"151","spilt gerrn gram","Mumbai",2015,19.9328376109379,1830
"152","pigeon pea tur","Varud-Rajura Bazar",2016,31.1912493590839,1825
"153","sunflower","Nandurbar",2015,45.8291457286432,1824
"154","sesamum","Nandura",2014,20.4548013058651,1817
"155","wheathusked","Nandgaon",2015,115.247776365947,1814
"156","sorgumjawar","Jalna-Badnapur",2014,144.08,1801
"157","pigeon pea tur","Satana",2015,25.7142857142857,1800
"158","pigeon pea tur","Savner",2016,27.0380434782609,1791
"159","pigeon pea tur","Yeotmal",2015,25.1122964626614,1789
"160","split black gram","Mumbai",2014,27.2643959065221,1785
"161","ricepaddyhus","Mangaon(Bhadav)",2014,96.3783783783784,1783
"162","pigeon pea tur","Dhule",2014,49.2392807745505,1780
